City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
169,Port Lincoln,-34.7333,135.8667,56.23,83,49,12.03,AU,2021-11-27 16:07:04,scattered clouds
170,Santa Isabel,-23.3156,-46.2214,83.91,37,0,11.59,BR,2021-11-27 16:03:43,clear sky
171,Muroto,33.2833,134.15,50.36,53,1,12.06,JP,2021-11-27 16:07:04,clear sky
172,Narasannapeta,18.4167,84.05,74.71,80,61,7.96,IN,2021-11-27 16:07:04,broken clouds
173,Najran,17.4924,44.1277,71.35,36,0,7.94,SA,2021-11-27 16:07:05,clear sky
174,Bilma,18.6853,12.9164,86.4,12,2,10.0,NE,2021-11-27 16:07:05,clear sky
175,Lichinga,-13.3128,35.2406,67.68,64,99,5.21,MZ,2021-11-27 16:07:05,overcast clouds
176,East London,-33.0153,27.9116,67.68,92,80,27.92,ZA,2021-11-27 16:07:06,moderate rain
177,Galateni,44.2167,25.35,51.62,67,42,5.14,RO,2021-11-27 16:07:06,scattered clouds
178,Durres,41.3231,19.4414,59.18,70,75,22.15,AL,2021-11-27 16:07:06,broken clouds
179,Galle,6.0367,80.217,77.65,90,100,10.47,LK,2021-11-27 16:07:07,overcast clouds
180,Constitucion,-35.3333,-72.4167,63.45,58,0,16.67,CL,2021-11-27 16:07:07,clear sky
181,Saint-Philippe,-21.3585,55.7679,78.35,83,80,4.45,RE,2021-11-27 16:06:34,light rain
182,Katsuura,35.1333,140.3,46.51,55,50,9.48,JP,2021-11-27 16:07:08,scattered clouds
183,Samana,19.2056,-69.3369,82.62,78,40,0.0,DO,2021-11-27 16:08:08,scattered clouds
184,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,78.53,90,100,2.82,BR,2021-11-27 16:08:09,overcast clouds
185,Malmo,55.6059,13.0007,37.72,93,100,12.26,SE,2021-11-27 16:08:09,overcast clouds
186,Victoria,22.2855,114.1577,69.85,70,8,15.46,HK,2021-11-27 16:08:05,clear sky
187,Antalya,36.7741,30.7178,66.79,100,75,13.8,TR,2021-11-27 16:08:09,thunderstorm with rain
188,Vila Do Maio,15.1333,-23.2167,77.43,76,7,19.28,CV,2021-11-27 16:08:10,clear sky
189,Narrabri,-30.3167,149.7833,61.86,82,45,12.41,AU,2021-11-27 16:08:10,scattered clouds
190,Urengoy,65.9667,78.3667,2.64,96,100,8.95,RU,2021-11-27 16:08:10,overcast clouds
191,Effingham,32.3669,-81.3332,55.58,34,2,3.15,US,2021-11-27 16:08:11,clear sky
192,Berlevag,70.8578,29.0864,17.55,53,56,18.41,NO,2021-11-27 16:08:11,broken clouds
193,Ginda,30.6945,78.4932,45.18,48,0,5.08,IN,2021-11-27 16:08:11,clear sky
194,Mancio Lima,-7.6142,-72.8958,93.96,40,21,4.59,BR,2021-11-27 16:08:12,few clouds
195,Nantucket,41.2835,-70.0995,44.71,49,1,20.71,US,2021-11-27 16:04:57,clear sky
196,Guerrero Negro,27.9769,-114.0611,66.78,53,0,7.99,MX,2021-11-27 16:05:55,clear sky
197,Aguai,-22.0594,-46.9786,84.24,49,36,11.05,BR,2021-11-27 16:08:12,scattered clouds
198,New Norfolk,-42.7826,147.0587,45.9,96,0,3.15,AU,2021-11-27 16:08:13,clear sky
199,Nuevo Progreso,23.1667,-97.95,69.33,70,33,3.0,MX,2021-11-27 16:08:13,scattered clouds
200,Saskylakh,71.9167,114.0833,-2.24,91,100,11.34,RU,2021-11-27 16:08:13,overcast clouds
201,Ambon,-3.6954,128.1814,81.27,78,100,4.94,ID,2021-11-27 16:08:14,overcast clouds
202,Saucillo,28.0167,-105.2833,55.47,67,3,4.43,MX,2021-11-27 16:08:14,clear sky
203,Algeciras,36.1333,-5.4505,58.77,67,20,20.71,ES,2021-11-27 16:08:14,few clouds
204,Nowa Sol,51.8033,15.717,33.67,72,89,4.56,PL,2021-11-27 16:08:15,overcast clouds
205,Sangar,63.9242,127.4739,-14.44,99,99,3.85,RU,2021-11-27 16:08:15,overcast clouds
206,Kurumkan,54.3,110.3,4.14,89,30,4.61,RU,2021-11-27 16:08:15,scattered clouds
207,Singaraja,-8.112,115.0882,80.1,82,100,4.38,ID,2021-11-27 16:08:16,overcast clouds
208,Coari,-4.085,-63.1414,86.54,64,95,3.53,BR,2021-11-27 16:08:16,overcast clouds
209,Yar-Sale,66.8333,70.8333,6.84,96,100,5.59,RU,2021-11-27 16:06:44,light snow
210,Kavaratti,10.5669,72.642,82.63,75,100,2.75,IN,2021-11-27 16:08:16,overcast clouds
211,Tasiilaq,65.6145,-37.6368,28.56,74,100,4.38,GL,2021-11-27 16:08:17,overcast clouds
212,Bambous Virieux,-20.3428,57.7575,78.19,70,20,8.34,MU,2021-11-27 16:03:40,few clouds
213,Kirsanov,52.6549,42.7224,33.19,80,100,20.29,RU,2021-11-27 16:08:17,overcast clouds
214,Roma,43.2128,-75.4557,33.66,64,40,17.27,US,2021-11-27 16:08:18,scattered clouds
215,Mlimba,-8.8,35.8167,77.29,76,86,3.87,TZ,2021-11-27 16:08:18,light rain
216,Challapata,-18.9,-66.7667,64.74,24,93,11.12,BO,2021-11-27 16:08:18,overcast clouds
217,Cabadiangan,9.7531,122.4739,78.17,86,61,6.67,PH,2021-11-27 16:08:18,broken clouds
218,Hohhot,40.8106,111.6522,34.75,42,93,3.33,CN,2021-11-27 16:08:19,overcast clouds
219,Sigli,5.3848,95.9609,78.89,83,100,2.8,ID,2021-11-27 16:08:19,overcast clouds
220,Bukama,-9.2,25.85,77.94,77,42,1.81,CD,2021-11-27 16:08:19,scattered clouds
221,Kodiak,57.79,-152.4072,6.31,72,20,5.75,US,2021-11-27 16:08:19,few clouds
222,Fengzhen,40.4394,113.1536,30.61,60,100,1.88,CN,2021-11-27 16:08:20,overcast clouds
223,Antibes,43.5624,7.1278,53.08,56,0,14.97,FR,2021-11-27 16:08:20,clear sky
224,Alyangula,-13.8483,136.4192,81.79,65,49,3.78,AU,2021-11-27 16:06:39,scattered clouds
225,Presidencia Roque Saenz Pena,-26.7852,-60.4388,95.41,19,3,8.48,AR,2021-11-27 16:08:21,clear sky
226,Hobyo,5.3505,48.5268,80.94,77,25,11.14,SO,2021-11-27 16:03:24,scattered clouds
227,Jalu,29.0331,21.5482,75.43,32,45,4.38,LY,2021-11-27 16:08:21,scattered clouds
228,Chuy,-33.6971,-53.4616,72.27,71,99,10.69,UY,2021-11-27 16:09:21,overcast clouds
229,Hilo,19.7297,-155.09,65.93,68,90,6.91,US,2021-11-27 16:07:32,overcast clouds
230,Korla,41.7597,86.1469,30.52,82,100,8.99,CN,2021-11-27 16:09:22,overcast clouds
231,Cap Malheureux,-19.9842,57.6142,78.44,71,7,8.34,MU,2021-11-27 16:09:22,clear sky
232,Lawrenceburg,38.0373,-84.8966,41.16,48,20,12.66,US,2021-11-27 16:09:23,few clouds
233,Rocha,-34.4833,-54.3333,79.52,49,18,13.44,UY,2021-11-27 16:08:49,few clouds
234,Shache,38.4167,77.2406,36.84,35,100,7.02,CN,2021-11-27 16:04:41,overcast clouds
